L,dBx/dx,dBx/dy,dBx/dz,dBy/dy,dBy/dz,Bx,By,Bz
1,0,0,0,0,0,0,0,4
2,0,0,0,0,0,0,0,4
3,0,0,0,0,0,0,1,4
4,0,0,0,0,0,0,0.5,4
5,0,0,0,0,0,0,0.5,3
6,0,0,0,0,0,0,0.5,3
7,0,0,0,0,0,0,0.5,3
8,0,0,0,0,0,0,0.5,3
9,0,0,0,0,0,0,0.5,3
10,0,0,0,0,0,3,0.5,3
11,0,0,0,0,0,3,0.5,3
12,0,0,0,0,0,3,0.5,3
13,0,0,0,0,0,3,0.5,3
14,0,0,0,0,0,3,1,0
15,0,0,0,0,0,3,1,0
16,0,0,0,0,0,3,1.5,0
17,0,0,0,0,0,0,0.5,0
18,0,0,0,0,0,0,0.5,0
19,0,0,0,0,0,0,0.5,0
20,0,0,0,0,0,0,0.5,0
21,0,0,0,0,0,6,1,0
22,0,0,0,0,0,6,1,0
23,0,0,0,0,0,6,1.5,0

